medal_type,medal_code,name,gender,nationality,discipline,event,code_athlete
Silver Medal,2,PALM Gabriella,Female,Australia,Water Polo,Women,1947514
Silver Medal,2,GOFERS Keesja,Female,Australia,Water Polo,Women,1947523
Silver Medal,2,ARMIT Elle,Female,Australia,Water Polo,Women,1947513
Silver Medal,2,HALLIGAN Bronte,Female,Australia,Water Polo,Women,1947506
Silver Medal,2,GREEN Sienna,Female,Australia,Water Polo,Women,1947540
Silver Medal,2,ANDREWS Abby,Female,Australia,Water Polo,Women,1947497
Silver Medal,2,ANDREWS Charlize,Female,Australia,Water Polo,Women,1947508
Silver Medal,2,HEARN Sienna,Female,Australia,Water Polo,Women,1947541
Silver Medal,2,ARANCINI Zoe,Female,Australia,Water Polo,Women,1947546
Silver Medal,2,WILLIAMS Alice,Female,Australia,Water Polo,Women,1947498
Silver Medal,2,KEARNS Tilly,Female,Australia,Water Polo,Women,1947528
Silver Medal,2,JACKOVICH Danijela,Female,Australia,Water Polo,Women,1947512
Silver Medal,2,LONGMAN Genevieve,Female,Australia,Water Polo,Women,1947515
Bronze Medal,3,AARTS Laura,Female,Netherlands,Water Polo,Women,1968845
Bronze Medal,3,WOLVES Iris,Female,Netherlands,Water Polo,Women,1968848
Bronze Medal,3,SLEEKING Brigitte,Female,Netherlands,Water Polo,Women,1968857
Bronze Medal,3,van der SLOOT Sabrina,Female,Netherlands,Water Polo,Women,1968858
Bronze Medal,3,KEUNING Maartje,Female,Netherlands,Water Polo,Women,1968860
Bronze Medal,3,van de KRAATS Simone,Female,Netherlands,Water Polo,Women,1968855
Bronze Medal,3,ROGGE Bente,Female,Netherlands,Water Polo,Women,1968851
Bronze Medal,3,SEVENICH Vivian,Female,Netherlands,Water Polo,Women,1968847
Bronze Medal,3,JOUSTRA Kittylynn,Female,Netherlands,Water Polo,Women,1968856
Bronze Medal,3,ROGGE Lieke,Female,Netherlands,Water Polo,Women,1968850
Bronze Medal,3,MOOLHUIJZEN Lola,Female,Netherlands,Water Polo,Women,1968854
Bronze Medal,3,TEN BROEK Nina,Female,Netherlands,Water Polo,Women,1968853
Bronze Medal,3,BUIS Sarah,Female,Netherlands,Water Polo,Women,1968846
Gold Medal,1,LOYD Jewell,Female,United States,Basketball,Women,1954742
Gold Medal,1,PLUM Kelsey,Female,United States,Basketball,Women,1954748
Gold Medal,1,IONESCU Sabrina,Female,United States,Basketball,Women,1954739
Gold Medal,1,COPPER Kahleah,Female,United States,Basketball,Women,1954730
Gold Medal,1,GRAY Chelsea,Female,United States,Basketball,Women,1954734
Gold Medal,1,WILSON A'ja,Female,United States,Basketball,Women,1954757
Gold Medal,1,STEWART Breanna,Female,United States,Basketball,Women,1954752
Gold Medal,1,COLLIER Napheesa,Female,United States,Basketball,Women,1954729
Gold Medal,1,TAURASI Diana,Female,United States,Basketball,Women,1954753
Gold Medal,1,YOUNG Jackie,Female,United States,Basketball,Women,1954758
Gold Medal,1,THOMAS Alyssa,Female,United States,Basketball,Women,1954754
Gold Medal,1,GRINER Brittney,Female,United States,Basketball,Women,1954735
Silver Medal,2,FAUTHOUX Marine,Female,France,Basketball,Women,1573445
Silver Medal,2,CHERY Alexia,Female,France,Basketball,Women,1573442
Silver Medal,2,MICHEL BOURY Sarah,Female,France,Basketball,Women,1573452
Silver Medal,2,AYAYI Valeriane,Female,France,Basketball,Women,1573439
Silver Medal,2,RUPERT Iliana,Female,France,Basketball,Women,1573454
Silver Medal,2,SALAUN Janelle,Female,France,Basketball,Women,1573455
Silver Medal,2,MALONGA Dominique,Female,France,Basketball,Women,1573451
Silver Medal,2,WILLIAMS Gabby,Female,France,Basketball,Women,1573457
Silver Medal,2,BADIANE Marieme,Female,France,Basketball,Women,1573440
Silver Medal,2,JOHANNES Marine,Female,France,Basketball,Women,1573448
Silver Medal,2,LACAN Leila,Female,France,Basketball,Women,1573449
Silver Medal,2,BERNIES Romane,Female,France,Basketball,Women,1573441
Bronze Medal,3,MELBOURNE Jade,Female,Australia,Basketball,Women,1939955
Bronze Medal,3,WALLACE Kristy,Female,Australia,Basketball,Women,1939956
Bronze Medal,3,TALBOT Steph,Female,Australia,Basketball,Women,1939970
Bronze Medal,3,MADGEN Tess,Female,Australia,Basketball,Women,1939971
Bronze Medal,3,SMITH Alanna,Female,Australia,Basketball,Women,1939943
Bronze Medal,3,MAGBEGOR Ezi,Female,Australia,Basketball,Women,1939952
Bronze Medal,3,TOLO Marianna,Female,Australia,Basketball,Women,1939964
Bronze Medal,3,GEORGE Cayla,Female,Australia,Basketball,Women,1939948
Bronze Medal,3,ATWELL Amy,Female,Australia,Basketball,Women,1939946
Bronze Medal,3,BORLASE Isobel,Female,Australia,Basketball,Women,1939954
Bronze Medal,3,JACKSON Lauren,Female,Australia,Basketball,Women,1939959
Bronze Medal,3,WHITCOMB Sami,Female,Australia,Basketball,Women,1939967
Gold Medal,1,JACOBSEN Niklas Landin,Male,Denmark,Handball,Men,1895223
Gold Medal,1,KIRKELOEKKE Niclas,Male,Denmark,Handball,Men,1895248
Gold Medal,1,JACOBSEN Magnus Landin,Male,Denmark,Handball,Men,1895241
Gold Medal,1,JAKOBSEN Emil,Male,Denmark,Handball,Men,1895238
Gold Medal,1,LAUGE Rasmus,Male,Denmark,Handball,Men,1895239
Gold Medal,1,NIELSEN Emil,Male,Denmark,Handball,Men,1895202
Gold Medal,1,SAUGSTRUP Magnus,Male,Denmark,Handball,Men,1895227
Gold Medal,1,LINDBERG Hans,Male,Denmark,Handball,Men,1895228
Gold Medal,1,GIDSEL Mathias,Male,Denmark,Handball,Men,1895237
Gold Medal,1,MOELLGAARD Henrik,Male,Denmark,Handball,Men,1895172
Gold Medal,1,HANSEN Mikkel,Male,Denmark,Handball,Men,1895235
Gold Medal,1,JOERGENSEN Lukas,Male,Denmark,Handball,Men,1895161
Gold Medal,1,ANDERSSON Lasse,Male,Denmark,Handball,Men,1895178
Gold Medal,1,HALD Simon,Male,Denmark,Handball,Men,1895234
Gold Medal,1,ARNOLDSEN Thomas,Male,Denmark,Handball,Men,1895236
Gold Medal,1,PYTLICK Simon,Male,Denmark,Handball,Men,1895180
Silver Medal,2,SPAETH David,Male,Germany,Handball,Men,1899256
Silver Medal,2,GOLLA Johannes,Male,Germany,Handball,Men,1899239
Silver Medal,2,WITZKE Luca,Male,Germany,Handball,Men,1899226
Silver Medal,2,HEYMANN Sebastian,Male,Germany,Handball,Men,1899206
Silver Medal,2,FISCHER Justus,Male,Germany,Handball,Men,1899237
Silver Medal,2,KNORR Juri,Male,Germany,Handball,Men,1899214
Silver Medal,2,KOESTER Julian,Male,Germany,Handball,Men,1899227
Silver Medal,2,USCINS Renars,Male,Germany,Handball,Men,1899231
Silver Medal,2,HAEFNER Kai,Male,Germany,Handball,Men,1899185
Silver Medal,2,HORNKE Tim,Male,Germany,Handball,Men,1899247
Silver Medal,2,WOLFF Andreas,Male,Germany,Handball,Men,1899193
Silver Medal,2,DAHMKE Rune,Male,Germany,Handball,Men,1899181
Silver Medal,2,MERTENS Lukas,Male,Germany,Handball,Men,1899252
Silver Medal,2,STEINERT Christoph,Male,Germany,Handball,Men,1899246
Silver Medal,2,GRGIC Marko,Male,Germany,Handball,Men,3546884
Silver Medal,2,KOHLBACHER Jannik,Male,Germany,Handball,Men,1899187
Bronze Medal,3,PEREZ de VARGAS Gonzalo,Male,Spain,Handball,Men,1948272
Bronze Medal,3,MAQUEDA Jorge,Male,Spain,Handball,Men,1948260
Bronze Medal,3,DUJSHEBAEV Alex,Male,Spain,Handball,Men,1948239
Bronze Medal,3,CORRALES Rodrigo,Male,Spain,Handball,Men,1948238
Bronze Medal,3,FIGUERAS Adrian,Male,Spain,Handball,Men,1948246
Bronze Medal,3,GARCIANDIA Imanol,Male,Spain,Handball,Men,1948251
Bronze Medal,3,SERDIO Abel,Male,Spain,Handball,Men,1948281
Bronze Medal,3,CASADO Agustin,Male,Spain,Handball,Men,1948233
Bronze Medal,3,GOMEZ Aleix,Male,Spain,Handball,Men,1948252
Bronze Medal,3,TARRAFETA Ian,Male,Spain,Handball,Men,1948288
Bronze Medal,3,SANCHEZ-MIGALLON Miguel,Male,Spain,Handball,Men,1948280
Bronze Medal,3,DUJSHEBAEV Daniel,Male,Spain,Handball,Men,1948240
Bronze Medal,3,ODRIOZOLA Kauldi,Male,Spain,Handball,Men,1948268
Bronze Medal,3,FERNANDEZ Daniel,Male,Spain,Handball,Men,1948244
Bronze Medal,3,RODRIGUEZ Javier,Male,Spain,Handball,Men,1948278
Gold Medal,1,CAMBI Carlotta,Female,Italy,Volleyball,Women,1921740
Gold Medal,1,de GENNARO Monica,Female,Italy,Volleyball,Women,1921757
Gold Medal,1,ORRO Alessia,Female,Italy,Volleyball,Women,1921738
Gold Medal,1,BOSETTI Caterina Chiara,Female,Italy,Volleyball,Women,1921747
Gold Medal,1,DANESI Anna,Female,Italy,Volleyball,Women,1921751
Gold Medal,1,SYLLA Myriam Fatime,Female,Italy,Volleyball,Women,1921746
Gold Medal,1,EGONU Paola Ogechi,Female,Italy,Volleyball,Women,1921742
Gold Medal,1,FAHR Sarah Luisa,Female,Italy,Volleyball,Women,1921752
Gold Medal,1,ANTROPOVA Ekaterina,Female,Italy,Volleyball,Women,1921743
Gold Medal,1,GIOVANNINI Gaia,Female,Italy,Volleyball,Women,1969716
Gold Medal,1,SPIRITO Ilaria,Female,Italy,Volleyball,Women,1921761
Gold Medal,1,LUBIAN Marina,Female,Italy,Volleyball,Women,1921753
Gold Medal,1,OMORUYI Oghosasere Loveth,Female,Italy,Volleyball,Women,1921749
Silver Medal,2,SKINNER Avery,Female,United States,Volleyball,Women,1917762
Silver Medal,2,RETTKE Dana,Female,United States,Volleyball,Women,1917759
Silver Medal,2,ROBINSON Kelsey,Female,United States,Volleyball,Women,1917760
Silver Medal,2,THOMPSON Jordan,Female,United States,Volleyball,Women,1917765
Silver Medal,2,WASHINGTON Haleigh,Female,United States,Volleyball,Women,1917766
Silver Medal,2,WONG-ORANTES Justine,Female,United States,Volleyball,Women,1917769
Silver Medal,2,POULTER Jordyn,Female,United States,Volleyball,Women,1917758
Silver Medal,2,CARLINI Lauren,Female,United States,Volleyball,Women,1917738
Silver Medal,2,LARSON Jordan,Female,United States,Volleyball,Women,1917752
Silver Medal,2,DREWS Andrea,Female,United States,Volleyball,Women,1917741
Silver Medal,2,PLUMMER Kathryn,Female,United States,Volleyball,Women,1917757
Silver Medal,2,OGBOGU Chiaka,Female,United States,Volleyball,Women,1917756
Silver Medal,2,HANCOCK Micha,Female,United States,Volleyball,Women,1917746
Gold Medal,1,FILIPOVIC Radoslav,Male,Serbia,Water Polo,Men,1956434
Gold Medal,1,MANDIC Dusan,Male,Serbia,Water Polo,Men,1956444
Gold Medal,1,RASOVIC Strahinja,Male,Serbia,Water Polo,Men,1956459
Gold Medal,1,RANDELOVIC Sava,Male,Serbia,Water Polo,Men,1956456
Gold Medal,1,CUK Milos,Male,Serbia,Water Polo,Men,1956426
Gold Medal,1,DEDOVIC Nikola,Male,Serbia,Water Polo,Men,1956427
Gold Medal,1,DRASOVIC Radomir,Male,Serbia,Water Polo,Men,1956432
Gold Medal,1,JAKSIC Nikola,Male,Serbia,Water Polo,Men,1956440
Gold Medal,1,VICO Nemanja,Male,Serbia,Water Polo,Men,1956466
Gold Medal,1,UBOVIC Nemanja,Male,Serbia,Water Polo,Men,1956465
Gold Medal,1,RASOVIC Viktor,Male,Serbia,Water Polo,Men,1956457
Gold Medal,1,JAKSIC Petar,Male,Serbia,Water Polo,Men,1956438
Gold Medal,1,MISOVIC Vladimir,Male,Serbia,Water Polo,Men,1956448
Silver Medal,2,BIJAC Marko,Male,Croatia,Water Polo,Men,1915766
Silver Medal,2,BURIC Rino,Male,Croatia,Water Polo,Men,1915768
Silver Medal,2,FATOVIC Loren,Male,Croatia,Water Polo,Men,1915778
Silver Medal,2,LONCAR Luka,Male,Croatia,Water Polo,Men,1915781
Silver Medal,2,JOKOVIC Maro,Male,Croatia,Water Polo,Men,1915784
Silver Medal,2,BUKIC Luka,Male,Croatia,Water Polo,Men,1915769
Silver Medal,2,VUKICEVIC Ante,Male,Croatia,Water Polo,Men,1915792
Silver Medal,2,ZUVELA Marko,Male,Croatia,Water Polo,Men,1915791
Silver Medal,2,MARINIC KRAGIC Jerko,Male,Croatia,Water Polo,Men,1915802
Silver Medal,2,VRLIC Josi,Male,Croatia,Water Polo,Men,1915790
Silver Medal,2,BILJAKA Matias,Male,Croatia,Water Polo,Men,1915801
Silver Medal,2,KHARKOV Konstantin,Male,Croatia,Water Polo,Men,1915782
Silver Medal,2,POPADIC Toni,Male,Croatia,Water Polo,Men,1915793
Bronze Medal,3,WEINBERG Adrian,Male,United States,Water Polo,Men,1908370
Bronze Medal,3,HOOPER Johnny,Male,United States,Water Polo,Men,1908360
Bronze Medal,3,VAVIC Marko,Male,United States,Water Polo,Men,1908369
Bronze Medal,3,OBERT Alex,Male,United States,Water Polo,Men,1908365
Bronze Medal,3,DAUBE Hannes,Male,United States,Water Polo,Men,1908353
Bronze Medal,3,CUPIDO Luca,Male,United States,Water Polo,Men,1908352
Bronze Medal,3,HALLOCK Ben,Male,United States,Water Polo,Men,1908357
Bronze Medal,3,WOODHEAD Dylan,Male,United States,Water Polo,Men,1908371
Bronze Medal,3,BOWEN Alex,Male,United States,Water Polo,Men,1908350
Bronze Medal,3,DODD Chase William,Male,United States,Water Polo,Men,1908354
Bronze Medal,3,DODD Ryder,Male,United States,Water Polo,Men,1908355
Bronze Medal,3,IRVING Max,Male,United States,Water Polo,Men,1908361
Bronze Medal,3,HOLLAND Drew,Male,United States,Water Polo,Men,1908359
Gold Medal,1,DING Xinyi,Female,China,Rhythmic Gymnastics,Group All-Around,1927515
Gold Medal,1,GUO Qiqi,Female,China,Rhythmic Gymnastics,Group All-Around,1927516
Gold Medal,1,HAO Ting,Female,China,Rhythmic Gymnastics,Group All-Around,1927517
Gold Medal,1,HUANG Zhangjiayang,Female,China,Rhythmic Gymnastics,Group All-Around,1927518
Gold Medal,1,WANG Lanjing,Female,China,Rhythmic Gymnastics,Group All-Around,1927519
Silver Medal,2,BAKANOV Shani,Female,Israel,Rhythmic Gymnastics,Group All-Around,1908226
Silver Medal,2,FRIEDMANN Adar,Female,Israel,Rhythmic Gymnastics,Group All-Around,1908240
Silver Medal,2,PARITZKI Romi,Female,Israel,Rhythmic Gymnastics,Group All-Around,1908233
Silver Medal,2,SHAHAM Ofir,Female,Israel,Rhythmic Gymnastics,Group All-Around,1908235
Silver Medal,2,SVERTSOV Diana,Female,Israel,Rhythmic Gymnastics,Group All-Around,1908230
Bronze Medal,3,CENTOFANTI Martina,Female,Italy,Rhythmic Gymnastics,Group All-Around,1923700
Bronze Medal,3,DURANTI Agnese,Female,Italy,Rhythmic Gymnastics,Group All-Around,1923701
Bronze Medal,3,MAURELLI Alessia,Female,Italy,Rhythmic Gymnastics,Group All-Around,1923699
Bronze Medal,3,MOGUREAN Daniela,Female,Italy,Rhythmic Gymnastics,Group All-Around,1923703
Bronze Medal,3,PARIS Laura,Female,Italy,Rhythmic Gymnastics,Group All-Around,1923704
